Battle,Date,belligerent,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special
Battle of Brega-Ajdabiya road,"8 – 18 April 2011 (first phase)
19 April – 23 June 2011 (second phase)
24 June – 13 July 2011 (third phase)",Abdul Fatah Younis,"5,000 (by 20 June)[5]",L,I,5000,,,,,
Battle of Brega-Ajdabiya road,"8 – 18 April 2011 (first phase)
19 April – 23 June 2011 (second phase)
24 June – 13 July 2011 (third phase)",Mutassim Gaddafi,"1,500[6]–3,000[7] (by 23 April)   3,000[8]–7,000[5] (by late June/early July)",R,I,5000,,,,,
Battle of Brest (1342),18 August 1342,"William de Bohun, 1st Earl of Northampton",260 small coastal vessels,L,V,,,,260,,
Battle of Brest (1342),18 August 1342,Carlo Grimaldi,14 large galleys,R,D,,,,14,,
Battle of Brignais,6 April 1362,Seguin de Badefol,"15,000",R,V,15000,,,,,
Battle of Brobacka,"August 9, 1566",Charles de Mornay,"3,700 men",L,V,3700,,,,,
Battle of Brobacka,"August 9, 1566",Daniel Rantzau,"7,500 men",R,D,7500,,,,,
Battle of Brunkeberg,10 October 1471,Christian I of Denmark,"3,000 Danish regulars   3,000 German mercenaries   Total:   6,000 men",R,D,6000,,,,,
Battle of Brunkeberg,10 October 1471,Sten Sture the Elder,"8,700 including peasants and some regulars   1,300 mounted knights   Total:   10,000 men[1]",L,V,8700,,,,,
Battle of Brustem,28 October 1467,Raes van Heers,"c. 12,000",R,D,12000,,,,,
Battle of Brustem,28 October 1467,Charles the Bold,"c. 25,000",L,V,25000,,,,,
Battle of Bryn Glas,22 June 1402 (St Alban's Day),Edmund Mortimer (1376-1409),"2,000",R,D,2000,,,,,
Battle of Bun'ei,"November 19, 1274",Kikuchi Takefusa,"~10,000",L,V,10000,,,,,
Battle of Burton Bridge (1322),7–10 March 1322,"Thomas, 2nd Earl of Lancaster","Up to 3,000 men[1]",R,D,3000,,,,,
Battle of Busan (1592),"September 1, 1592","정운 - 위키백과, 우리 모두의 백과사전",166 vessels (74 Panokseon and 92 hyeopseon),L,V,,,,166,,
Battle of Busan (1592),"September 1, 1592",Katō Yoshiaki,"470 vessels (Modern estimates)[13][14]   [15][16]   8,000 soldiers(Diary of Yi Sun Shin)",R,D,,,,470,,
Battle of Buyur Lake,1388,Lan Yu (general),"150,000 soldiers",L,V,150000,,,,,
Battle of Buyur Lake,1388,Uskhal Khan Tögüs Temür,---,R,D,1,,,,,
Battle of Byczyna,"January 24, 1588",Jan Zamoyski,"6,000[1]",L,V,6000,,,,,
Battle of Byczyna,"January 24, 1588","Maximilian III, Archduke of Austria","6,500[1]",R,D,6500,,,,,
Battle of Byeokjegwan,"January 27, 1593",Kobayakawa Takakage,"30,000-50,000[9][10]",L,V,40000,,,,,
Battle of Byeokjegwan,"January 27, 1593",Li Rusong,"20,000[11]",R,D,20000,,,,,
Battle of Bạch Đằng (1288),1288,Omar Khan (general),"80,000 regular troops   30,000 tribal auxiliaries from Yunnan and Hainan   a 1,000-man vanguard   500 ships[1]",R,D,110000,,,500,,
Battle of Bạch Đằng (1288),1288,Trần Khánh Dư,"50,000+",L,V,50000,,,,,
Battle of Bạch Đằng (938),938,Ngô Quyền,"30,000[citation needed]",L,V,30000,,,,,
Battle of Bạch Đằng (938),938,Liu Hongcao,"100,000+[citation needed]",R,D,100000,,,,,
Battle of Cadfan,1257,Rhys Gryg,Several Thousand,L,V,1,,,,,
Battle of Cadfan,1257,Stephen Bauzan,Several Thousand,R,D,1,,,,,
Battle of Caen (1346),26 July 1346,Edward III of England,"12,000 (not all engaged)",L,V,12000,,,,,
Battle of Caen (1346),26 July 1346,"Raoul II of Brienne, Count of Eu","1,500 soldiers",R,D,1500,,,,,
Battle of Caer Caradock,50 AD (0050),Publius Ostorius Scapula,"21,000 Legio IX Hispana Legio XX Valeria Victrix",L,V,21000,,,,,
Battle of Cajamarca,"November 16, 1532",Atahualpa,"3,000–8,000 unarmed personal attendants/lightly armed guards [2]",R,D,1500,,,,,
Battle of Cajamarca,"November 16, 1532",Francisco Pizarro,106 infantry   62 cavalry   four cannons   12 harquebuses[1],L,V,106,62,4,,,
Battle of Callinicum,19 April 531 AD,Hermogenes (magister officiorum),"20,000[2]      13,000 Byzantine infantry & cavalry   5,000 Ghassanid cavalry   2,000 Lycaonian infantry",L,D,15000,5000,,,,
Battle of Callinicum,19 April 531 AD,Azarethes,"20,000[3]      15,000 Sassanid Savārān cavalry   5,000 Lakhmid cavalry",R,V,,20000,,,,
Battle of Campaldino,11 June 1289,Aimery IV of Narbonne,"10,000 infantry   1,600 cavalry",L,V,10000,1600,,,,
Battle of Campaldino,11 June 1289,Guglielmino Ubertini,"10,000 infantry   800 cavalry",R,D,10000,800,,,,
Battle of Campo delle Mosche,23 July 1359,Pandolfo II Malatesta,"3000 cavalry, 500 foot, 2500 archers",L,V,3000,3000,,,,
Battle of Campo delle Mosche,23 July 1359,Konrad von Landau,"500 cavalry, 1000 foot",R,D,1000,500,,,,
Battle of Camulodunum,60 or 61 AD,Boudica,"Unknown, possibly 10,000 +",R,V,10000,,,,,
Battle of Camulodunum,60 or 61 AD,Quintus Petillius Cerialis,"2,500",L,D,2500,,,,,
Battle of Canhe Slope,"December 8, 395[1]",Emperor Daowu of Northern Wei,"20,000-30,000[2][3]",R,V,25000,,,,,
Battle of Canhe Slope,"December 8, 395[1]",Murong Lin,"98,000[2]",L,D,98000,,,,,
Battle of Cannae,2 August 216 BC,Gisgo,"50,000:   32,000 heavy infantry,   8,000 light infantry,   10,000 cavalry",L,V,40000,10000,,,,
Battle of Cannae,2 August 216 BC,Lucius Aemilius Paullus (consul 219 BC),"86,400:   40,000 Roman infantry,   40,000 allied infantry,   2,400 Roman cavalry,   4,000 allied cavalry,   10,000 garrison in fort",R,D,80000,6400,,,,
Battle of Canusium,209 BC,Hannibal,"16,000",L,I,16000,,,,,
Battle of Canusium,209 BC,Marcus Claudius Marcellus,"approximately 20,000",R,I,20000,,,,,
Battle of Cape Ecnomus,256 BC,Marcus Atilius Regulus,"About 330 ships   Approx. 140,000 rowers and marines",L,V,,,,330,,
Battle of Cape Ecnomus,256 BC,Hanno the Great,"About 350 ships   In excess of 150,000 rowers and marines[1]",R,D,,,,350,,
Battle of Capua (212 BC),212 BC,Hannibal,"20,000 and approximately 2000 Numidians plus Capuan allies",L,V,22000,,,,,
Battle of Capua (212 BC),212 BC,Appius Claudius Pulcher (consul 212 BC),"8 Legions, approximately 40,000",R,D,40000,,,,,
Battle of Caravaggio,15 September 1448,Francesco I Sforza,"12,000 cavalry, 7,000 infantry",L,V,7000,12000,,,,
Battle of Caravaggio,15 September 1448,Micheletto Attendolo,"12,500 cavalry, 3,000/4,000 infantry",R,D,3500,12500,,,,
Battle of Carberry Hill,15 June 1567,"James Hepburn, 4th Earl of Bothwell","2,000 including;   200 musketeers   300 pikemen",L,D,2000,,,,,
Battle of Carchemish,c. 605 BC,Nebuchadnezzar II,"18,000",R,V,18000,,,,,
Battle of Carrhae,"May 6,[1] 53 BC",Surena,"10,000 cavalry      1,000 cataphracts   9,000 horse archers",R,V,,10000,,,,
Battle of Carrhae,"May 6,[1] 53 BC",Marcus Licinius Crassus,"7 legions;[2] estimated 40,000–50,000 total      Uncounted number of milites (presumed 34,000[1] or more)   8,000 auxiliaries[2]      4,000 cavalry[2]   4,000 light infantry[2]",L,D,31000,4000,,,,
Battle of Cartagena (207 BC),209 BC,Scipio Africanus,"35,000",L,V,35000,,,,,
Battle of Carthage (c.149 BC),c. 149 BC – spring 146 BC,Hasdrubal the Boetharch,"400,000:   30,000 defenders,   366,000 civilians,   300 Elephants,   4,000 Cavalry[1]",R,D,30000,4000,,,,300
Battle of Cascina,28 July 1364,John Hawkwood,"Approximately 5,000 men (800 English, 4,000 Pisan levies) [1]",R,D,5000,,,,,
Battle of Cascina,28 July 1364,Galeotto I Malatesta,"15,000 (4.000 knights, 11.000 infantrymen)",L,V,11000,4000,,,,
Battle of Cassano (1259),"September 16, 1259[6][7]",Ezzelino III da Romano,"8,000 Cavalry[4][5]   Incl. 3,000 Knights [4][5]",R,D,,8000,,,,
Battle of Cassano (1259),"September 16, 1259[6][7]",Azzo VII d'Este,"Troops from:[12][13]   Milan, Cremona,   Mantua and Ferrara",L,V,1,,,,,
Battle of Cassel (1328),23 August 1328,Nicolaas Zannekin,"15,000+",L,D,15000,,,,,
Battle of Cassel (1328),23 August 1328,Philip VI of France,"15,000+",R,V,15000,,,,,
Battle of Castagnaro,"March 11, 1387",John Hawkwood,"Total: ≈ 7,000-9,200 men      Soldiers brought by John Hawkwood      ≈ 600 cavalry   ≈ 500 archers         The army of Padua and their other condottieri      ≈8,000 men",R,V,8500,600,,,,
Battle of Castagnaro,"March 11, 1387",Da Polenta family,"≈ 11,000-16,000 men with ( 12,000-16000 reserves, mostly peasants)[1]",L,D,13500,,,,,
Battle of Castillon,17 July 1453,"John Talbot, 1st Earl of Shrewsbury","c. est. 6,000-10,000[1][2]",L,D,8000,,,,,
Battle of Castillon,17 July 1453,Jean Bureau,"c. est. 7,000-10,000[1][2]",R,V,8500,,,,,
Battle of Catana (397 BC),"Summer, 397 BC",Leptines of Syracuse,"180 ships, mostly Quinqueremes",L,D,,,,180,,
Battle of Cedynia,24 June 972,Czcibor,"Unknown, not more than 4000",L,V,4000,,,,,
Battle of Cedynia,24 June 972,"Odo I, Margrave of the Saxon Ostmark",About 3000 soldiers and 1000–1300 cavalrymen,R,D,3000,1150,,,,
Battle of Cephalonia,880,Nasar,Unknown; ships from the Imperial Fleet and troops from the Theme of the Peloponnese,L,V,1,,,,,
Battle of Cerami,June 1063,Roger I of Sicily,136 mounted knights   c. 150 infantry,L,V,150,136,,,,
Battle of Cerami,June 1063,Ibn al-Hawas,"3,000 horsemen   up to 50,000 infantry (likely highly exaggerated)",R,D,30000,3000,,,,
Battle of Ceresole,11 April 1544,Alfonso d'Avalos,"~12,500–18,000 infantry,   ~800–1,000 cavalry,   ~20 guns",R,D,15250,900,20,,,
Battle of Ceresole,11 April 1544,"Francis, Count of Enghien","~11,000–13,000 infantry,   ~1,500–1,850 cavalry,   ~20 guns",L,V,11000,1775,20,,,
Battle of Cerignola,"April 28, 1503","Louis d'Armagnac, Duke of Nemours","~9,000[2]      650 French gendarmes   1,100 light horse   3,500 Swiss infantry   2,500-3,500 French infantry      40 guns (arrived too late)",R,D,7000,1100,,,,
Battle of Cerignola,"April 28, 1503",Prospero Colonna,"~6,300[1]      700 men-at-arms   800 light horse   1,000 arquebusiers   2.000 landsknechts   1,000+ other infantry      20 guns",L,V,5000,800,20,,,
Battle of Ceuta,21 August 1415[1],Prince Henry the Navigator,"45,000 men[3]",L,V,45000,,,,,
Battle of Ch'ungju,"April 28, 1592",Matsura Shigenobu,"First Division (ca. 18,700 men)",L,V,18700,,,,,
Battle of Ch'ungju,"April 28, 1592",Yi Jong-jang,"100,000[1]   80000[2]   60000[3]   tens of thousands of men[4]   more than 50,000[5]   60000~70000[6]   8,000-16,000[7]",R,D,60000,,,,,
Battle of Chaeronea (338 BC),"August 2, 338 BC",Philip II of Macedon,"30,000 infantry,   2,000 cavalry",L,V,30000,2000,,,,
Battle of Chaeronea (338 BC),"August 2, 338 BC",Chares of Athens,"35,000",R,D,35000,,,,,
Battle of Chaeronea (86 BC),86 BC,Archelaus (general),"120,000",R,D,120000,,,,,
Battle of Chaeronea (86 BC),86 BC,Sulla,"30,000",L,V,30000,,,,,
Battle of Chains,April 633 AD/possibly 629[1],Khalid ibn al-Walid,"18,000",L,V,18000,,,,,
Battle of Chalagan,"December, 1412",Ibrahim I of Shirvan,"2,000 Georgians, unknown number of Shirvanese",R,D,2000,,,,,
Battle of Chalai,"February 2–6, 2009",Sarath Fonseka,Sri Lanka Army:   55 Division,L,V,55,,,,,
Battle of Chaldiran,23 August 1514,Mohammad Khan Ustajlu,"40,000[9][7]   or 55,000[10]   or 80,000[6]",R,D,60000,,,,,
Battle of Chaldiran,23 August 1514,Hasan Pasha (Ottoman commander),"60,000[5]   or 100,000[6][7]   100-150 cannon[8] or 200 cannon and 100 mortars[4]",L,V,80000,,80,,,
Battle of Champtoceaux,14–16 October 1341,"Charles, Duke of Brittany","7,000+",L,V,7000,,,,,
Battle of Changping,"April, 262 BC – July, 260 BC",Lian Po,"450,000",L,D,450000,,,,,
Battle of Changping,"April, 262 BC – July, 260 BC",Bai Qi,"550,000",R,V,550000,,,,,
Battle of Chengpu,632 BC,Xian Zhen,"700 chariots (Jin),other parts unknown.",L,V,1,,,,,
Battle of Chilchonryang,27 August 1597,Bae Seol,169 total ships[1],R,D,,,,169,,
Battle of Chilchonryang,27 August 1597,Wakisaka Yasuharu,500-1000 total ships,L,V,,,,750,,
Battle of Chios (1319),23 July 1319,Mehmed Beg,10 galleys   18 other ships,R,D,,,,28,,
Battle of Chios (1319),23 July 1319,Albert of Schwarzburg,31 ships,L,V,,,,31,,
Battle of Chios (201 BC),201 BC,Theophiliscus,Around 100 ships,R,V,,,,100,,
Battle of Chios (201 BC),201 BC,Philip V of Macedon,Around 200 ships,L,D,,,,200,,
Battle of Chiset (Chizai),21 March 1373,"John Devereux, 1st Baron Devereux",700,L,D,700,,,,,
Battle of Chiset (Chizai),21 March 1373,Bertrand du Guesclin,1500,R,V,1500,,,,,
Battle of Chojnice (1454),"September 18, 1454",Piotr of Szczekociny,"16,000 cavalry,   over 3,000 infantry",L,D,3000,16000,,,,
Battle of Chojnice (1454),"September 18, 1454",Bernhard von Zinnenberg,"9,000 cavalry   6,000 infantry",R,V,6000,9000,,,,
Battle of Chora,"June 15–19, 2007",Mullah Ismael,"Unknown, possibly several hundred[1]",R,D,1,,,,,
Battle of Châlons,"June 20th, 451 AD",Thorismund,"50,000-80,000",L,I,65000,,,,,
Battle of Châlons,"June 20th, 451 AD",Odoacer,"50,000-80,000",R,I,65000,,,,,
Battle of Cissa,Fall 218 BC,Gnaeus Cornelius Scipio Calvus,"20,000 infantry,   2,200 cavalry",R,V,20000,2200,,,,
Battle of Civetot,21 October 1096,Walter Sans Avoir,"20,000",R,D,20000,,,,,
Battle of Civitate,18 June 1053,"Gerard, Duke of Lorraine","c. 6,000, infantry and horsemen",R,D,6000,,,,,
Battle of Civitate,18 June 1053,Richard I of Capua,"3,000 horsemen   c. 500 infantry",L,V,3500,,,,,
Battle of Clontarf,23 April 1014[1],Murchad mac Briain,"7,000 men",L,V,7000,,,,,
Battle of Clontarf,23 April 1014[1],Brodir and Ospak of Man,"~6,600 men",R,D,6600,,,,,
Battle of Cnidus,394 BC,Pharnabazus II,90 triremes,L,V,,,,90,,
Battle of Cnidus,394 BC,Peisander (general),85 triremes,R,D,,,,85,,
Battle of Cocherel,16 May 1364,Bertrand du Guesclin,"1,500 to 3,000",L,V,2250,,,,,
Battle of Cocherel,16 May 1364,"Jean III de Grailly, captal de Buch","5,000 to 6,000 and 300 archers",R,D,5800,,,,,
Battle of Codrii Cosminului,"October 26, 1497",Stanisław Chodecki,"50,000 - 100,000[2]",L,D,75000,,,,,
Battle of Colle Val d'Elsa,16 June 1269,Giambertoldo,"1,100   800 cavalry   300 infantry",R,V,300,800,,,,
Battle of Colle Val d'Elsa,16 June 1269,Provenzano Salvani,"9,400   1,400 cavalry   8,000 infantry",L,D,8000,1400,,,,
Battle of Constantinople (1147),September 1147,Manuel I Komnenos,Unknown but smaller,L,V,1,,,,,
Battle of Constantinople (1147),September 1147,Conrad III of Germany,"Unknown – the full German strength was 20,000, but only part was involved",R,D,2,,,,,
Battle of Corinth (146 BC),146 BC,Diaeus,"14,000 infantry   600 cavalry",R,D,14000,600,,,,
Battle of Corinth (146 BC),146 BC,Lucius Mummius Achaicus,"23,000 infantry   3,500 cavalry",L,V,23000,3500,,,,
Battle of Cornus,Fall 215 BC,Hasdrubal the Bald,"15,000 infantry,   1,500 cavalry + Sardinians (?) + Elephants (?)",L,D,15000,1500,,,,
Battle of Cornus,Fall 215 BC,Titus Manlius Torquatus (dictator),"20,000 infantry (2 Roman and 2 Allied Legions), 1,200 cavalry",R,V,20000,1200,,,,
Battle of Coronea (394 BC),394 BC,Agesilaus II,"15,000",L,V,15000,,,,,
Battle of Coronea (447 BC),447 BC,Tolmides,"1000 hoplites, others?",R,D,1000,,,,,
Battle of Corrichie,28 October 1562,"George Gordon, 4th Earl of Huntly",500,R,D,500,,,,,
Battle of Corrichie,28 October 1562,"John Stewart, 4th Earl of Atholl",2000,L,V,2000,,,,,
Battle of Cortenuova,27 November 1237,"Frederick II, Holy Roman Emperor","2,000–3,000 Germans   (Holy Roman Empire)   [2][3]   7,000–10,000 Saracens   (Kingdom of Sicily)   [2][3][4][5]   801 Ghibellines   (Verona and Lombardy)   [2][3][6]",L,V,11801,,,,,
Battle of Cortenuova,27 November 1237,Roman Catholic Archdiocese of Milan,"15,500–20,000   (Comunes of Lombardy)   [2][4][7]",R,D,177750,,,,,
Battle of Coutras,20 October 1587,Anne de Joyeuse,"5,000 infantry   1,800 cavalry",R,D,5000,1800,,,,
Battle of Coutras,20 October 1587,Henry IV of France,"5,000 infantry   1,800 cavalry",L,V,5000,1800,,,,
Battle of Craibstone,20 November 1571,Adam Gordon of Auchindoun,800,L,V,800,,,,,
Battle of Craibstone,20 November 1571,"Alexander, 2nd Lord Forbes of Pitsligo",900,R,D,900,,,,,
Battle of Crannon,August 322 BC,Antiphilus (general),"25,000 infantry,      3,500 cavalry",R,D,25000,3500,,,,
Battle of Crannon,August 322 BC,Craterus,"40,000 infantry,   3,000 slingers and archers,   5,000 cavalry",L,V,43000,5000,,,,
Battle of Cravant,31 July 1423,"Thomas Montagu, 4th Earl of Salisbury","4,000",L,V,4000,,,,,
Battle of Cravant,31 July 1423,"Louis, Count of Vendôme","8,000",R,D,8000,,,,,
Battle of Cresson,1 May 1187,Gerard de Ridefort,"Approx. 130 knights (including the Grand Master of both, Templars and Hospitalers.)   400 infantry   Unknown numbers of turcopole[1]",L,D,400,130,,,,
Battle of Cresson,1 May 1187,Gökböri,"700-7,000[2]",R,V,3850,,,,,
Battle of Crug Mawr,October 1136,Owain Gwynedd,6000 infantrymen   2000 cavalrymen,L,V,6000,2000,,,,
Battle of Crug Mawr,October 1136,"Maurice FitzGerald, Lord of Lanstephan",Several thousand,R,D,1,,,,,
Battle of Crécy,26 August 1346,Antonio Doria,"Contemporary sources:   72,000 - 100,000      15,000 crossbowmen [2]      Modern consensus:   30,000:[3]      6,000 crossbowmen   12,000 men-at-arms   12,000 infantry",R,D,30000,,,,,
Battle of Crécy,26 August 1346,John Chandos,"Modern estimates:   ~14,000:[1]      2,500 men-at-arms   5,000 longbowmen   3,000 hobelars   3,500 spearmen   5 ribauldequin",L,V,14000,,,,,
Battle of Ctesiphon (165),165,Avidius Cassius,Capable of raising many soldiers,L,V,1,,,,,
Battle of Ctesiphon (165),165,Vologases IV,Capable of raising many soldiers,R,D,1,,,,,
Battle of Ctesiphon (363),"May 29, 363",Julian (emperor),"83,000 men[3]-60,000[1]",L,I,71500,,,,,
Battle of Ctesiphon (363),"May 29, 363",Merena,Presumably larger than Roman force[1],R,I,1,,,,,
Battle of Cunaxa,3 September 401 BC [1],Ariaeus,"Large force of Persian soldiers   10,400 mercenary hoplites   2,500 mercenary light infantry and peltasts   1,000 Paphlagonian cavalry   600 bodyguard cavalry   20 scythed chariots",L,I,13000,1600,,,,20
Battle of Curzota,"September 8, 1298[1]",Lamba Doria,66–75 galleys[2][4][9],L,V,,,,70,,
Battle of Curzota,"September 8, 1298[1]",Andrea Dandolo (admiral),95 galleys[6][3][9][10],R,D,,,,95,,
Battle of Cuzco,"On or shortly before November 15, 1533",Hernando de Soto,"Thousands of native auxiliaries   250-300, 60+ cavalry and 3 guns",L,V,1,,,,,
Battle of Cuzco,"On or shortly before November 15, 1533",Quizquiz,"Unknown, but probably 10,000-100,000",R,D,1,,,,,
Battle of Cynoscephalae,197 BC,Titus Quinctius Flamininus,"22,000 infantry, 8,000 light infantry, 2,500 cavalry, and 20 war elephants 32,500 men total[1]",L,V,30000,2500,,,,20
Battle of Cynoscephalae,197 BC,Philip V of Macedon,"16,000 phalangites, 2,000 light infantry, 5,500 mercenaries and allies, and 2,000 cavalry, 25,500 total [1]",R,D,23500,2000,,,,
Battle of Cynossema,411 BC,Thrasyllus,76 ships,L,V,,,,76,,
Battle of Cynossema,411 BC,Mindarus,86 ships,R,D,,,,86,,
Battle of Cynwit,878,Ubba,1200,R,D,1200,,,,,
Battle of Cyzicus,410 BC,Pharnabazus II,80 triremes,R,D,,,,80,,
Battle of Cyzicus,410 BC,Thrasybulus,86 triremes,L,V,,,,86,,
Battle of Dafei River,670,Gar Trinring Tsendro,"400,000",L,V,400000,,,,,
Battle of Dahlen,"April 25, 1568",Sancho d'Avila,"1,600[1]",R,V,1600,,,,,
Battle of Damme,30 May and 31 May 1213,"William Longespée, 3rd Earl of Salisbury",500 ships,R,V,,,,500,,
Battle of Damme,30 May and 31 May 1213,Philip II of France,1700 ships,L,D,,,,1700,,
Battle of Dan-no-ura,"April 25, 1185",Taira no Tomomori,400-500 ships[1],R,D,,,,450,,
Battle of Dan-no-ura,"April 25, 1185",Minamoto no Yoshitsune,300 ships[1],L,V,,,,300,,
Battle of Dandanaqan,"May 23, 1040",Chaghri Beg,"16,000[5]",R,V,16000,,,,,
Battle of Dandanaqan,"May 23, 1040",Subashi (general),"50,000 men   60[3] or 12[4] war elephants",L,D,50000,,,,,
Battle of Dara,530,Pityaxes,"50,000 men[2]   (originally 40,000 men[1])",R,D,50000,,,,,
Battle of Dara,530,Belisarius,"25,000 men[1]",L,V,25000,,,,,
Battle of Delebio,18 and 19 November 1432[1],Niccolò Piccinino,400 Milanese Knights[6]   Strengenthed by the   Ghibelline faction loyal   to the Duke[6],L,V,,400,,,,
Battle of Delebio,18 and 19 November 1432[1],Taddeo d'Este,1 Venetian Column[7],R,D,1,,,,,
Battle of Delft (1573),October 1573,Julian Romero,"4,000[3]",R,D,4000,,,,,
Battle of Delft (1573),October 1573,Thomas Morgan (died 1595),"6,000 (1,000 in Delft)[2]",L,V,6000,,,,,
