,Battle,Date,Location,Result,belligerent,opp,own,pos,Infantry,Cavalry,Artillery,Ships,Airforce,Special,VorD
129,Battle_of_Fort_Beauséjour,"June 3–16, 1755","Near present-day Sackville, New Brunswick, Canada
45°51′55.83″N 64°17′26.85″W﻿ / ﻿45.8655083°N 64.2907917°W﻿ / 45.8655083; -64.2907917Coordinates: 45°51′55.83″N 64°17′26.85″W﻿ / ﻿45.8655083°N 64.2907917°W﻿ / 45.8655083; -64.2907917",British victory,Louis Du Pont Duchambon de Vergor,"270 British army troops
2,000 New England militia","162 troupes de la Marine
300 Acadian militia",L,,,,,,,D
130,Battle_of_Fort_Beauséjour,"June 3–16, 1755","Near present-day Sackville, New Brunswick, Canada
45°51′55.83″N 64°17′26.85″W﻿ / ﻿45.8655083°N 64.2907917°W﻿ / 45.8655083; -64.2907917Coordinates: 45°51′55.83″N 64°17′26.85″W﻿ / ﻿45.8655083°N 64.2907917°W﻿ / 45.8655083; -64.2907917",British victory,Robert Monckton,"162 troupes de la Marine
300 Acadian militia","270 British army troops
2,000 New England militia",R,,,,,,,V
131,Battle_of_Lobositz,1 October 1756,"Lovosice, Bohemia, present-day Czech Republic","Prussian tactical victory, Austrian strategic victory",Frederick the Great,"33,354","28,000",L,,,,,,,V
132,Battle_of_Reichenberg,21 April 1757,"Liberec, Bohemia, present-day Czech Republic",Prussian victory,"Augustus William, Duke of Brunswick-Bevern","10,500","16,000",L,,,,,,,V
133,Battle_of_Reichenberg,21 April 1757,"Liberec, Bohemia, present-day Czech Republic",Prussian victory,Christian Moritz Graf Königsegg und Rothenfels,"16,000","10,500",R,,,,,,,D
134,Battle_of_Kolín,18 June 1757,"Kolín, Bohemia, (now the Central Bohemian Region of the Czech Republic) about 55 kilometres (34 mi) east of Prague
50°01′44″N 15°07′19″E﻿ / ﻿50.029°N 15.122°E﻿ / 50.029; 15.122Coordinates: 50°01′44″N 15°07′19″E﻿ / ﻿50.029°N 15.122°E﻿ / 50.029; 15.122",Austrian victory,Count Leopold Joseph von Daun,"34,000","53,790
154 guns",L,,,,,,,D
137,Battle_of_Kolín,18 June 1757,"Kolín, Bohemia, (now the Central Bohemian Region of the Czech Republic) about 55 kilometres (34 mi) east of Prague
50°01′44″N 15°07′19″E﻿ / ﻿50.029°N 15.122°E﻿ / 50.029; 15.122Coordinates: 50°01′44″N 15°07′19″E﻿ / ﻿50.029°N 15.122°E﻿ / 50.029; 15.122",Austrian victory,Frederick the Great,"53,790
154 guns","34,000",R,,,,,,,V
138,Battle_of_Gross-Jägersdorf,30 August 1757,"Gross-Jägersdorf, East Prussia (present-day Kaliningrad Oblast)","Russian tactical victory, Prussian strategic success",Hans von Lehwaldt,"75,000 men","25,500 men",L,,,,,,,D
139,Battle_of_Gross-Jägersdorf,30 August 1757,"Gross-Jägersdorf, East Prussia (present-day Kaliningrad Oblast)","Russian tactical victory, Prussian strategic success",Stepan Fyodorovich Apraksin,"25,500 men","75,000 men",R,,,,,,,V
140,Battle_of_Domstadtl,30 June 1758,"Domašov nad Bystřicí, Moravia, Habsburg Monarchy (now Czech Republic)",Austrian victory,Hans Joachim von Zieten,"12,000","30,000",L,,,,,,,D
141,Battle_of_Domstadtl,30 June 1758,"Domašov nad Bystřicí, Moravia, Habsburg Monarchy (now Czech Republic)",Austrian victory,Ernst Gideon von Laudon,"30,000","12,000",R,,,,,,,V
142,Battle_of_Carillon,"July 6–8, 1758","Fort Carillon, present-day Ticonderoga, New York
43°50′30″N 73°23′15″W﻿ / ﻿43.84167°N 73.38750°W﻿ / 43.84167; -73.38750Coordinates: 43°50′30″N 73°23′15″W﻿ / ﻿43.84167°N 73.38750°W﻿ / 43.84167; -73.38750",Decisive French victory[1],Louis-Joseph de Montcalm,"6,000 regulars
12,000 provincial troops, rangers, and Indians[2]","3,600 regulars, militia, and Indians",L,,,,,,,V
143,Battle_of_Carillon,"July 6–8, 1758","Fort Carillon, present-day Ticonderoga, New York
43°50′30″N 73°23′15″W﻿ / ﻿43.84167°N 73.38750°W﻿ / 43.84167; -73.38750Coordinates: 43°50′30″N 73°23′15″W﻿ / ﻿43.84167°N 73.38750°W﻿ / 43.84167; -73.38750",Decisive French victory[1],"James Abercrombie (British Army officer, born 1706)","3,600 regulars, militia, and Indians","6,000 regulars
12,000 provincial troops, rangers, and Indians[2]",R,,,,,,,D
144,Battle_of_Maxen,21 November 1759,"Maxen, Saxony, present-day Germany","Austrian victory
Capture of the Prussian forces",Count Leopold Joseph von Daun,"14,000","32,000",L,,,,,,,V
147,Battle_of_Maxen,21 November 1759,"Maxen, Saxony, present-day Germany","Austrian victory
Capture of the Prussian forces",Friedrich August von Finck,"32,000","14,000",R,,,,,,,D
148,Battle_of_Meissen,4 December 1759,"Meissen, Saxony, present-day Germany",Austrian victory,Prince Henry of Prussia (1726–1802),"21,000","26,000",R,,,,,,,D
150,Battle_of_Liegnitz_(1760),15 August 1760,"Liegnitz, Prussian Silesia, present-day Poland
51°13′30″N 16°11′17″E﻿ / ﻿51.22500°N 16.18806°E﻿ / 51.22500; 16.18806Coordinates: 51°13′30″N 16°11′17″E﻿ / ﻿51.22500°N 16.18806°E﻿ / 51.22500; 16.18806",Prussian victory,Frederick the Great,"25,000 (80,000 reinforcements under von Daun never engaged)","30,000",L,,,,,,,V
151,Battle_of_Torgau,3 November 1760,"Süptitzer Höhen, near Torgau, Saxony, Holy Roman Empire
51°34′30″N 12°55′30″E﻿ / ﻿51.57500°N 12.92500°E﻿ / 51.57500; 12.92500Coordinates: 51°34′30″N 12°55′30″E﻿ / ﻿51.57500°N 12.92500°E﻿ / 51.57500; 12.92500",Prussian victory,Frederick the Great,"53,400","50,000[1]",L,,,,,,,V
152,Battle_of_Burkersdorf,21 July 1762,"Burkersdorf, present-day Poland",Prussian victory,Frederick the Great,"75,000","55,000",L,,,,,,,V
153,Battle_of_Burkersdorf,21 July 1762,"Burkersdorf, present-day Poland",Prussian victory,Count Leopold Joseph von Daun,"55,000","75,000",R,,,,,,,D
154,Battle_of_Bushy_Run,"August 5 – August 6, 1763","near present-day Harrison City, Westmoreland County, Pennsylvania",British victory,Henry Bouquet,110-500[1][2],500,R,,,,,,,V
155,Battle_of_Point_Pleasant,"October 10, 1774","Present-day Point Pleasant, West Virginia
38°50′21″N 82°08′27″W﻿ / ﻿38.8393°N 82.1408°W﻿ / 38.8393; -82.1408Coordinates: 38°50′21″N 82°08′27″W﻿ / ﻿38.8393°N 82.1408°W﻿ / 38.8393; -82.1408",Virginian victory,Andrew Lewis (soldier),300–500,"1,000",R,,,,,,,D
156,Battle_of_Trois-Rivières,"June 8, 1776","Trois-Rivières, Quebec
46°21′N 72°33′W﻿ / ﻿46.350°N 72.550°W﻿ / 46.350; -72.550Coordinates: 46°21′N 72°33′W﻿ / ﻿46.350°N 72.550°W﻿ / 46.350; -72.550",British victory,William Thompson (general),"1,000+[2]","2,000[1]",L,,,,,,,V
157,Battle_of_Trois-Rivières,"June 8, 1776","Trois-Rivières, Quebec
46°21′N 72°33′W﻿ / ﻿46.350°N 72.550°W﻿ / 46.350; -72.550Coordinates: 46°21′N 72°33′W﻿ / ﻿46.350°N 72.550°W﻿ / 46.350; -72.550",British victory,William Thompson (general),"1,000+[2]","2,000[1]",L,,,,,,,D
158,Battle_of_Trois-Rivières,"June 8, 1776","Trois-Rivières, Quebec
46°21′N 72°33′W﻿ / ﻿46.350°N 72.550°W﻿ / 46.350; -72.550Coordinates: 46°21′N 72°33′W﻿ / ﻿46.350°N 72.550°W﻿ / 46.350; -72.550",British victory,"Guy Carleton, 1st Baron Dorchester","2,000[1]","1,000+[2]",R,,,,,,,V
159,Battle_of_Long_Island,"August 27, 1776","Kings County, Long Island, New York
40°39′58″N 73°57′58″W﻿ / ﻿40.666°N 73.966°W﻿ / 40.666; -73.966Coordinates: 40°39′58″N 73°57′58″W﻿ / ﻿40.666°N 73.966°W﻿ / 40.666; -73.966",British victory[1],"William Howe, 5th Viscount Howe","10,000[2]","20,000[3]",R,,,,,,,V
160,Battle_of_Pell's_Point,"October 18, 1776","The Bronx, New York City","Tactical British victory
Strategic American retreat","William Howe, 5th Viscount Howe",750[1],"4,000[1]",R,,,,,,,V
166,Battle_of_St._Lucia,15 December 1778,"Off St. Lucia, West Indies",British victory,Samuel Barrington,12 ships of the line,7 ships of the line,L,,,,,,,V
167,Battle_of_St._Lucia,15 December 1778,"Off St. Lucia, West Indies",British victory,"Charles Hector, comte d'Estaing",7 ships of the line,12 ships of the line,R,,,,,,,D
168,Battle_of_Stony_Point,"July 16, 1779","Stony Point, New York",American victory,Anthony Wayne,750,"1,500",L,,,,,,,V
169,Battle_of_Stony_Point,"July 16, 1779","Stony Point, New York",American victory,Henry Johnson (American Revolutionary War),"1,500",750,R,,,,,,,D
170,Battle_of_Paulus_Hook,"August 19, 1779","Paulus Hook, New Jersey",American victory,Henry Lee III,250,300,L,,,,,,,V
171,Battle_of_Paulus_Hook,"August 19, 1779","Paulus Hook, New Jersey",American victory,William Sutherland (British Army officer),300,250,R,,,,,,,D
172,Battle_of_Fort_Royal,29 April and 30 April 1781,"Off Martinique, West Indies",French victory[1],"Samuel Hood, 1st Viscount Hood",24 ships of the line,18 ships of the line,L,,,,,,,D
173,Battle_of_Eutaw_Springs,"September 8, 1781","Orangeburg County,
near present-day Eutawville, South Carolina
33°24′26″N 80°17′56″W﻿ / ﻿33.40728°N 80.29875°W﻿ / 33.40728; -80.29875Coordinates: 33°24′26″N 80°17′56″W﻿ / ﻿33.40728°N 80.29875°W﻿ / 33.40728; -80.29875","British tactical victory
American strategic victory",Alexander Stewart (British Army officer),"2,200","2,000",R,,,,,,,V
177,Battle_of_Ushant_(1781),12 December 1781,"Bay of Biscay, 150 mi (240 km) south-west of Ushant",British victory,Richard Kempenfelt,"19 ships of the line, 20 or more transports",12 ships of the line,L,,,,,,,V
178,Battle_of_Sadras,17 February 1782,"Bay of Bengal, off the coast from present-day Kalpakkam
12°31′24.23″N 80°10′36.66″E﻿ / ﻿12.5233972°N 80.1768500°E﻿ / 12.5233972; 80.1768500Coordinates: 12°31′24.23″N 80°10′36.66″E﻿ / ﻿12.5233972°N 80.1768500°E﻿ / 12.5233972; 80.1768500",French victory[1][2][3],Pierre André de Suffren,9 ships of the line,11 ships of the line,R,,,,,,,V
180,Battle_of_Providien,12 April 1782,"Bay of Bengal, off the east coast of Ceylon, south of Trincomalee
8°15′17.94″N 81°30′47.02″E﻿ / ﻿8.2549833°N 81.5130611°E﻿ / 8.2549833; 81.5130611Coordinates: 8°15′17.94″N 81°30′47.02″E﻿ / ﻿8.2549833°N 81.5130611°E﻿ / 8.2549833; 81.5130611",French victory[1],Edward Hughes (Royal Navy officer),12 ships of the line,11 ships of the line,L,,,,,,,D
181,Battle_of_Turnhout_(1789),27 October 1789,"Turnhout, Austrian Netherlands","Belgian victory

Austrian withdrawal from Belgium[1]
Creation of the United States of Belgium[2]",Johann Gottfried Freiherr von Schröder,"2,000","2,500",L,,,,,,,V
183,Battle_of_Turnhout_(1789),27 October 1789,"Turnhout, Austrian Netherlands","Belgian victory

Austrian withdrawal from Belgium[1]
Creation of the United States of Belgium[2]",Jean-André van der Mersch,"2,500","2,000",R,,,,,,,D
185,St._Clair's_Defeat,"November 4, 1791","Near present-day Fort Recovery, Ohio
Near 40°21′26″N 84°45′46″W﻿ / ﻿40.3571°N 84.7628°W﻿ / 40.3571; -84.7628Coordinates: 40°21′26″N 84°45′46″W﻿ / ﻿40.3571°N 84.7628°W﻿ / 40.3571; -84.7628",Decisive Native American victory,Little Turtle,"1,000","1,100",L,,,,,,,V
186,St._Clair's_Defeat,"November 4, 1791","Near present-day Fort Recovery, Ohio
Near 40°21′26″N 84°45′46″W﻿ / ﻿40.3571°N 84.7628°W﻿ / 40.3571; -84.7628Coordinates: 40°21′26″N 84°45′46″W﻿ / ﻿40.3571°N 84.7628°W﻿ / 40.3571; -84.7628",Decisive Native American victory,Arthur St. Clair,"1,100","1,000",R,,,,,,,D
187,Battle_of_Zieleńce,18 June 1792,"Zieleńce, Poland (now Ukraine)",Polish victory,Józef Poniatowski,"11,000 and 24 cannons[2][1]","15,357 and 12 cannons[1]",L,,,,,,,V
188,Battle_of_Zieleńce,18 June 1792,"Zieleńce, Poland (now Ukraine)",Polish victory,Irakly Morkov,"15,357 and 12 cannons[1]","11,000 and 24 cannons[2][1]",R,,,,,,,D
189,Battle_of_Valmy,20 September 1792,"Between Sainte-Menehould and Valmy
49°04′46″N 4°45′56″E﻿ / ﻿49.07944°N 4.76556°E﻿ / 49.07944; 4.76556Coordinates: 49°04′46″N 4°45′56″E﻿ / ﻿49.07944°N 4.76556°E﻿ / 49.07944; 4.76556","Decisive French victory
Republic proclaimed two days later",Charles François Dumouriez,"34,000","32,000",L,,,,,,,V
191,Battle_of_Hondschoote_(1793),6–8 September 1793,"Hondschoote, France",French victory,Jean Nicolas Houchard,"24,000","40,000",L,,,,,,,V
192,Battle_of_Kaiserslautern,28–30 November 1793,"Kaiserslautern, present-day Germany",Prussian–Saxon victory,"Charles William Ferdinand, Duke of Brunswick-Wolfenbüttel","36,000","26,000",L,,,,,,,V
193,Battle_of_Racławice,4 April 1794,"Racławice, Lesser Poland",Polish victory,Tadeusz Kościuszko,"3,000[1]:185 and 12 cannons","5,000[1]:185 and 11 cannons",L,,,,,,,V
194,Battle_of_Racławice,4 April 1794,"Racławice, Lesser Poland",Polish victory,Alexander Tormasov,"5,000[1]:185 and 11 cannons","3,000[1]:185 and 12 cannons",R,,,,,,,D
195,Battle_of_Boulou,29 April – 1 May 1794,"Le Boulou, Pyrénées-Orientales, France",French victory (first battle was Spanish),Jacques François Dugommier,"20,000[1]","30,000[1]",L,,,,,,,V
196,Battle_of_Tourcoing,18 May 1794,"Tourcoing, Nord, France",French victory,Joseph Souham,"74,000","70,000",L,,,,,,,V
197,Battle_of_San_Lorenzo_de_la_Muga,13 August 1794,"Sant Llorenç de la Muga, Catalonia, Spain",French victory,Jacques François Dugommier,"20,000[2]","10,000[2]",L,,,,,,,V
198,Battle_of_San_Lorenzo_de_la_Muga,13 August 1794,"Sant Llorenç de la Muga, Catalonia, Spain",French victory,"Luis Firmín de Carvajal, Conde de la Unión","10,000[2]","20,000[2]",R,,,,,,,D
199,Capture_of_Trincomalee,11 January 1782,"Trincomalee, then a Dutch colony in present-day Sri Lanka
8°32′56.79″N 81°14′15.78″E﻿ / ﻿8.5491083°N 81.2377167°E﻿ / 8.5491083; 81.2377167Coordinates: 8°32′56.79″N 81°14′15.78″E﻿ / ﻿8.5491083°N 81.2377167°E﻿ / 8.5491083; 81.2377167",British victory,Edward Hughes (Royal Navy officer),450,800,L,,,,,,,V
200,Battle_of_Muizenberg,10 June–15 September 1795,"Dutch Cape Colony, Southern Africa",British victory,"George Elphinstone, 1st Viscount Keith","3,600","1,800",R,,,,,,,V
201,Battle_of_Loano,23 November 1795,"Loano, Liguria, Italy",French victory,Barthélemy Louis Joseph Schérer,"18,000","25,000",L,,,,,,,V
202,Battle_of_Loano,23 November 1795,"Loano, Liguria, Italy",French victory,"Olivier, Count of Wallis","25,000","18,000",R,,,,,,,D
203,Battle_of_Würzburg,3 September 1796,"Würzburg, present-day Germany",Austrian victory,Jean-Baptiste Jourdan,"30,000","30,000[1]",L,,,,,,,D
204,Battle_of_Würzburg,3 September 1796,"Würzburg, present-day Germany",Austrian victory,"Archduke Charles, Duke of Teschen","30,000[1]","30,000",R,,,,,,,V
205,Battle_of_Bassano,8 September 1796,"Bassano, Venetia, present-day Italy",French victory,Napoleon,"11,000","20,000",L,,,,,,,V
206,Battle_of_the_Bridge_of_Arcole,"15 November 1796 (1796-11-15)–
17 November 1796 (1796-11-17)","Arcole, present-day Italy
Coordinates: 45°21′N 11°17′E﻿ / ﻿45.350°N 11.283°E﻿ / 45.350; 11.283",French victory[1],Napoleon,"24,000","20,000[2]",L,,,,,,,V
207,Battle_of_the_Bridge_of_Arcole,"15 November 1796 (1796-11-15)–
17 November 1796 (1796-11-17)","Arcole, present-day Italy
Coordinates: 45°21′N 11°17′E﻿ / ﻿45.350°N 11.283°E﻿ / 45.350; 11.283",French victory[1],József Alvinczi,"20,000[2]","24,000",R,,,,,,,D
208,Battle_of_Mondovì,21 April 1796,"Mondovì, Piedmont, in modern-day Italy",French victory,Napoleon,"13,000[1]","17,500[1]",L,,,,,,,V
209,Battle_of_Mondovì,21 April 1796,"Mondovì, Piedmont, in modern-day Italy",French victory,Michelangelo Alessandro Colli-Marchi,"17,500[1]","13,000[1]",R,,,,,,,D
210,Battle_of_Rivoli,14–15 January 1797,"Rivoli Veronese, present-day Italy",Decisive French victory[1],Napoleon,"28,000","19,000",L,,,,,,,V
211,Battle_of_Rivoli,14–15 January 1797,"Rivoli Veronese, present-day Italy",Decisive French victory[1],József Alvinczi,"19,000","28,000",R,,,,,,,D
212,Battle_of_Neuwied_(1797),18 April 1797,"Neuwied, present-day Germany",French victory,Franz von Werneck,"35,000[2] to 38,000[3]","21,000",R,,,,,,,D
213,Battle_of_Naas,24 May 1798,"Naas, County Kildare",United Irishmen repelled,Michael Reynolds (United Irishmen),250,"1,000",L,,,,,,,D
214,Battle_of_Bunclody,1 June 1798,"Bunclody, County Wexford",United Irishmen seize Bunclody but are then repelled by British.,Mogue Kearns,?,"5,000",L,,,,,,,V
215,Battle_of_New_Ross_(1798),5 June 1798,"New Ross, County Wexford","British victory, spread of rebellion into county Kilkenny halted",Bagenal Harvey,"2,000","10,000",L,,,,,,,D
216,Battle_of_New_Ross_(1798),5 June 1798,"New Ross, County Wexford","British victory, spread of rebellion into county Kilkenny halted","Sir Henry Johnson, 1st Baronet","10,000","2,000",R,,,,,,,V
217,Battle_of_Arklow,9 June 1798,"Arklow, County Wicklow",United Irishmen repulsed,Anthony Perry,"1,700","10,000",L,,,,,,,D
218,Battle_of_Foulksmills,20 June 1798,"Foulkesmill, County Wexford",British victory,Philip Roche,"~1,500","~5,000",L,,,,,,,D
219,Battle_of_Foulksmills,20 June 1798,"Foulkesmill, County Wexford",British victory,John Moore (British Army officer),"~5,000","~1,500",R,,,,,,,V
220,Battle_of_Castlebar,27 August 1798,"Castlebar, County Mayo","United Irish/French victory.
Republic of Connacht declared.",Jean Joseph Amable Humbert,"6,000","2,000",L,,,,,,,V
222,Battle_of_Castlebar,27 August 1798,"Castlebar, County Mayo","United Irish/French victory.
Republic of Connacht declared.","Gerard Lake, 1st Viscount Lake","2,000","6,000",R,,,,,,,D
224,Siege_of_Acre_(1799),20 March – 21 May 1799,"Acre, Sidon Eyalet, Ottoman Empire",Anglo-Ottoman victory,Napoleon,"30,000 men[1]
12,000 reinforcement (7 May)
35,000 (Battle of Mount Tabor[2]),
HMS Theseus (1786),
HMS Tigre","9,000",R,,,,,,,V
225,First_Battle_of_Zürich,4–7 June 1799,"Zürich, Switzerland",Austrian victory,André Masséna,"40,000","30,000",L,,,,,,,D
226,First_Battle_of_Zürich,4–7 June 1799,"Zürich, Switzerland",Austrian victory,"Archduke Charles, Duke of Teschen","30,000","40,000",R,,,,,,,V
227,Battle_of_Callantsoog,27 August 1799,"Callantsoog, The Netherlands
52°50′56″N 4°41′49″E﻿ / ﻿52.849°N 4.697°E﻿ / 52.849; 4.697Coordinates: 52°50′56″N 4°41′49″E﻿ / ﻿52.849°N 4.697°E﻿ / 52.849; 4.697",British victory,Herman Willem Daendels,"12,000","10,000",L,,,,,,,D
228,Battle_of_Callantsoog,27 August 1799,"Callantsoog, The Netherlands
52°50′56″N 4°41′49″E﻿ / ﻿52.849°N 4.697°E﻿ / 52.849; 4.697Coordinates: 52°50′56″N 4°41′49″E﻿ / ﻿52.849°N 4.697°E﻿ / 52.849; 4.697",British victory,Ralph Abercromby,"10,000","12,000",R,,,,,,,V
229,Battle_of_Krabbendam,10 September 1799,"Krabbendam, The Netherlands",British victory,Guillaume Brune,"23,000","25,000",L,,,,,,,D
230,Battle_of_Krabbendam,10 September 1799,"Krabbendam, The Netherlands",British victory,Ralph Abercromby,"25,000","23,000",R,,,,,,,V
231,Battle_of_Bergen_(1799),19 September 1799,"Bergen, Netherlands",French-Dutch victory,Guillaume Brune,"30,000","22,000",L,,,,,,,V
232,Battle_of_Bergen_(1799),19 September 1799,"Bergen, Netherlands",French-Dutch victory,"Prince Frederick, Duke of York and Albany","22,000","30,000",R,,,,,,,V
233,Battle_of_Bergen_(1799),19 September 1799,"Bergen, Netherlands",French-Dutch victory,"Prince Frederick, Duke of York and Albany","22,000","30,000",R,,,,,,,D
