,Battle,Date,Location,Result,belligerent,inflicted,opp,own,pos,taken,VorD
1796,Battle_of_Copenhagen_(1807),16 August – 5 September 1807,"Copenhagen
55°40′46″N 12°34′22″E﻿ / ﻿55.67944°N 12.57278°E﻿ / 55.67944; 12.57278Coordinates: 55°40′46″N 12°34′22″E﻿ / ﻿55.67944°N 12.57278°E﻿ / 55.67944; 12.57278",Decisive British victory. Danish navy surrendered to the United Kingdom.,Denmark,"42 killed,
145 wounded,
24 missing[1]","25,000","10,000",R,"3,000 soldiers, militia (All adults were militia during a siege[citation needed]), 195 civilians killed. 768 injured. Entire fleet surrendered to the British.[1]",
1809,Battle_of_Lapua,14 July 1808,"Lapua, Finland",Swedish victory,Carl Johan Adlercreutz,400[1],"4,100","4,700",L,180[1],
1970,Siege_of_Detroit,15–16 August 1812,"Detroit, Michigan",British/Native American victory,William Hull,2 wounded,"600 Natives
330 regulars
400 militia
5 light guns
3 heavy guns, 2 mortars
2 warships[2]","582 regulars
1,600+ militia
30 guns[1]",L,"7 killed
2,493 captured",
1982,Siege_of_Fort_Harrison,"September 4 – 15, 1812","Terre Haute, Indiana, Indiana Territory",United States victory,Siege of Fort Harrison,"- 2 killed before battle (civilians)
- 3 killed, 3 wounded during battle[1]
- 18 killed, 2 wounded in supply trains","20 healthy, 30 sick",600,L,Unknown – believed to be several killed or wounded,
2026,Battle_of_Vyazma,3 November 1812,"Vyazma, Russia",Russian victory,Wikipedia:Accuracy dispute,"1,800 killed and wounded","26,500 troops","37,000, of whom 24,000 took part in the battle",R,"8,000, including 4,000 taken prisoner",
2032,Battle_of_Krasnoi,15–18 November 1812,"Krasny, Russia",Russian tactical victory,Napoleon,"2,000–5,000","60,000–80,000","42,000 regulars,
39,000 stragglers",L,"6,000–13,000 killed,
20,000–26,000 captured ~ (almost all stragglers)",
2071,Battle_of_Lützen_(1813),2 May 1813,"Near Lützen, south-west of Leipzig, present-day Germany",French-Polish victory,Napoleon,"About 8,500 Prussian and 3,000 Russian dead and wounded[2]","93,000
(56,000 Russians and 37,000 Prussians)[1]","78,000 engaged
170,000 present[1]",L,"19,500-22,000 dead and wounded[2]",
2077,Siege_of_Fort_Meigs,28 April – 9 May 1813,"present-day Perrysburg, Ohio","American victory[1][2][3]

British abandon siege[4]",Henry Procter (British Army officer),"160 killed
190 wounded
100 wounded prisoners
530 captured
6 missing
Total
986[7]","1,200 regulars
1,600 militia","1,250 Native Americans
433 regulars
462 Canadian militia",L,"British
14 killed
47 wounded
41 captured[5]
Indians
19 killed and wounded
Total
121[6]",
2083,Battle_of_Bautzen,20–21 May 1813,"Bautzen, Saxony",French victory,Napoleon,"Around 11,000–20,000[3][4]","96,000[1][2]","115,000[1][not in citation given] to 200,000[2]",L,"20,000–22,000[3][4]",
2116,Battle_of_the_Pyrenees,25 July to 2 August 1813,"North Pyrenees, Spain",Allied victory,Francisco de Longa,"12,501[3]","79,000[1]","62,000[2]",R,"7,000[4]",
2120,Battle_of_Burnt_Corn,"July 27, 1813","On Burnt Corn Creek in Escambia County, Alabama, near the border with Conecuh County.[2]",Red Stick victory,Colonel (United States),"~10 or 12 killed
eight or nine wounded",~80,~180,R,"2 killed
15 wounded",
2127,Battle_of_St._Michaels,"August 10, 1813","St. Michaels, Maryland",American victory,"Sir George Cockburn, 10th Baronet",None,unknown,unknown,L,29,
2138,Battle_of_Dresden,26–27 August 1813,"Dresden, Saxony, present-day Germany",French victory,"Édouard Mortier, Duke of Trévise","38,000 dead, wounded, or captured,
40 guns","214,000","135,000",L,"10,000 dead or wounded",
2171,Battle_of_the_Thames,"October 5, 1813","Near Moravian of the Thames First Nation in present day Chatham-Kent, Ontario","American victory[1]

Death of Tecumseh
Fall of the Tecumseh Confederacy",Roundhead (Wyandot),"10-27 killed
17-57 wounded[7][8]","3,760+:

2,381 militia
1,000 volunteer mounted troops
120 regulars
260 natives[2]
Unknown number of US Navy forces in Lake Erie[1]","1,300[2]-1,600:[1]

Indians:


500[2]-1,000[1] natives


British:


600[1]-800[2] regulars",L,"Native Americans:
16-33 killed[3][4]
Unknown wounded and captured
British:
12-18 killed
22-35 wounded prisoners
566-579 captured[5][6]",
2253,Battle_of_Arcis-sur-Aube,20–21 March 1814,"Arcis-sur-Aube, France",Coalition victory,"Karl Philipp, Prince of Schwarzenberg","3,000–4,200, 3 guns","Day 1: 18,000
Day 2: 28,000–30,000","74,000–108,000",L,"3,000–4,000",
2268,Battle_of_Fère-Champenoise,25 March 1814,"near Fère-Champenoise, France",Coalition victory,"Édouard Mortier, Duke of Trévise","2,000–4,000","26,400, 128 guns
180,000 reinforcements","22,450, 84 guns",R,"10,000, 60–80 guns",
2275,Battle_of_Montmartre,30–31 March 1814,"Paris, France","Decisive Coalition victory

Emperor Napoleon abdicates the throne and is exiled to Elba
Treaty of Fontainebleau
End of the War of the Sixth Coalition","Édouard Mortier, Duke of Trévise","18,000","155,000

100,000 Russians
40,000 Prussians
15,000 Austrians and German allies","23,000 regulars
6,000 National Guards",L,"5,000",
2309,Battle_of_North_Point,"September 12, 1814","North Point, Maryland, ""Patapsco Neck"" peninsula, southeast of city of Baltimore, Maryland in Baltimore County
Coordinates: 39°11′53.54″N 76°26′29.39″W﻿ / ﻿39.1982056°N 76.4414972°W﻿ / 39.1982056; -76.4414972","British tactical victory[2][3]
American strategic victory[3]
British advance delayed",Samuel Smith (Maryland),"42–46 Killed
279–295 Wounded [4][5][6]","4,000 [4]","3,200 [4]",L,"24 Killed
139 Wounded
50 Captured [4]",
2361,Bombardment_of_Algiers_(1816),27 August 1816,"Algiers, Algeria","Anglo-Dutch victory

3000 slaves freed.","Edward Pellew, 1st Viscount Exmouth","Reportedly 500 – 7000 dead
4 frigates and 5 corvettes burnt,[3] 33 boats destroyed[4][5]","Garrison of 8,000 men, 30,000 irregular troops in and around Algiers, shore batteries with ~1,000 cannon[1]
several frigates and sloops, ~90 boats.",27 ships (5 ships of the line),L,"128 dead, 690 wounded (British)
13 dead, 52 wounded (Dutch)[2]",
2372,Battle_of_Mahidpur,21 December 1817,"Mahidpur, Malwa, India",British victory,"Sir Thomas Hislop, 1st Baronet","Around 3,000 killed and wounded[1]",unknown,unknown,L,"174 killed, 604 wounded[1]",
2394,Battle_of_Boyacá,"August 7, 1819","Boyacá, Colombia",Decisive Republican victory,Decree of War to the Death,"13 dead, 53 injured.[1]",2850[1],2670 Newgranadians-Venezuelan loyalist soldiers[1],R,"over 100 casualties, 150 injured and 1600 prisoners.[1]",
2429,Battle_of_Navarino,20 October 1827,"Pylos, Greece
36°56′09″N 21°41′16″E﻿ / ﻿36.93583°N 21.68778°E﻿ / 36.93583; 21.68778Coordinates: 36°56′09″N 21°41′16″E﻿ / ﻿36.93583°N 21.68778°E﻿ / 36.93583; 21.68778",Decisive Great Powers victory,Royal Navy,"ca. 3,000 killed
1,109 wounded (Ottoman figures)","Ottomans:
3 ships of the line
17 frigates
ca. 58 smaller warships
5-6 fireships","Allies:
10 ships of the line
10 frigates
2 smaller warships",L,"181 killed
480 wounded",
2435,Battle_of_Praia_Bay,11 August 1829,"Praia Bay, Terceira island, Azores",Loyalist victory,Maria II of Portugal,,unknown,unknown,L,,
2441,Battle_of_Debre_Abbay,14 February 1831,"Tigray province, Ethiopia",Yejju victory,Sabagadis,,unknown,unknown,L,,
2481,Battle_of_Leuven,891,"Leuven, part of the Eastern Francia (situated in modern day Flanders, Belgium)","Victory for the Franks
Deterred new large Viking raids in the contemporary Low Countries",Arnulf of Carinthia,,unknown,unknown,R,,
2488,Battle_of_Bad_Axe,1–2 August 1832,"Near present-day Victory, Wisconsin",United States victory,Black Hawk (Sauk leader),"5 KIA, 19 WIA","appx. 1,300",appx. 500 (including non-combatants),L,"at least 150 KIA (including non-combatants)
75 captured",
2546,Battle_of_Huesca,24 May 1837,"Huesca, Spain",Carlist Victory,Joseph Conrad (French colonel),,unknown,unknown,L,,
2562,Battle_of_Beauharnois,"November 10, 1838","Beauharnois, Quebec",Loyalist victory,François-Marie-Thomas Chevalier de Lorimier,,unknown,unknown,R,,
2565,Battle_of_Blood_River,16 December 1838,"Blood/Ncome river, KwaZulu-Natal, South Africa
Coordinates: 28°6′19″S 30°32′30″E﻿ / ﻿28.10528°S 30.54167°E﻿ / -28.10528; 30.54167",Decisive Boer victory,Andries Pretorius,"3,000+ dead","10,000~20,000 men","464 Pioneers + 200 servants
a 6lb carronade and a 4lb cannon",L,3 wounded,
2589,Battle_of_Ohaeawai,July 1845,"Ohaeawai
Coordinates: 35°22′39″S 173°51′16″E﻿ / ﻿35.3776°S 173.8545°E﻿ / -35.3776; 173.8545",,Tāmati Wāka Nene,,unknown,unknown,L,,
2625,Battle_of_Dominguez_Rancho,"October 8, 1846[1]","Dominguez Hills, California",Mexican victory,Captain (armed forces),"4 killed,
6 wounded[2]",285 marines[2],~90 militia[1],L,none,
2740,Battle_of_Takusa,"April 12, 1853",Takusa,Kassa Hailu is victorious,Birru Aligaz of Yejju,,unknown,unknown,R,Two Dejazmaches,
2755,Siege_of_Sevastopol_(1854),17 October 1854 – 9 September 1855,"Sevastopol, Taurida Governorate, Russian Empire",Decisive Allied victory,"Edmund Lyons, 1st Baron Lyons","Total casualties: 102,000 killed, wounded, and died from disease[8]","October 1854 garrison: 36,600[6]
May 1855 garrison: 43,000 and 42,000 army in the Crimea,[2] with 8,886 naval gunners","October 1854: 67,000[1]
July 1855 total strength: 175,000,[2] consisting of:
French: 75,000
British: 35,000
Ottoman: 60,000[3]
Piedmontese: 15,000
Arriving in August:
British Ottoman Contingent: 22,000
German Legion: 9,000
Swiss Legion: 3,000
Polish Legion: 1,500
Italian Legion: 2,000[4][5]
French Reserve Army at Constantinople: 30,000
British Reserve Army at Malta: 15,000+",L,"French: 10,240 killed in action, 20,000 died of wounds, 50,000 died of disease
British: 2,755 killed in action, 2,019 died of wounds, 16,323 died of disease
Piedmontese: 2,050 died from all causes[7]
Total deaths: 128,387",
2767,Battle_of_Malakoff,8 September 1855,"Sevastopol, Taurida Governorate, Russian Empire
Coordinates: 44°36′14″N 33°32′57″E﻿ / ﻿44.603888898889°N 33.549166676667°E﻿ / 44.603888898889; 33.549166676667",Decisive French victory,"Patrice de MacMahon, Duke of Magenta","13,000 casualties[1]",unknown,unknown,L,"10,000 casualties[1]",
2773,Battle_of_Seattle_(1856),"January 26, 1856","Seattle, Washington, United States",United States victory,Guert Gansevoort,28 killed[1],unknown,unknown,L,2 killed,
2779,Siege_of_Cawnpore,5 – 25 June (1857),"Cawnpore, India","Rebel victory
Surrender and killing of the besieged Company forces, followed by recapture of Cawnpore and violent reprisals by the Company forces",Brigadier,Unknown,Around 4000 sepoy mutineers and mercenaries,Around 900 including civilians and 300 soldiers,L,"All, except five men and two women",
2788,Battle_of_Aong,"July 15, 1857",outside of Aong village,East India Company victory,Henry Havelock,,unknown,unknown,R,,
2798,The_Battle_of_Logandème,18 May 1859,"Fatick, (Kingdom of Sine), now part of Senegal
14°40′N 17°25′W",French victory,Louis Faidherbe,,unknown,unknown,L,,
2884,Battle_of_Liberty,"September 17, 1861 (1861-09-17)","Clay County, Missouri",Confederate victory,David Rice Atchison,56 [1],600 [1],"3,500",R,70 [1],
2916,Battle_of_Hancock,"January 5, 1862 (1862-01-05)–January 6, 1862 (1862-01-06)[1]","Washington County, Maryland /
Morgan County, West Virginia",Inconclusive,Frederick W. Lander,25[1],unknown,unknown,L,25[1],
2943,Battle_of_Hampton_Roads,"March 8, 1862 (1862-03-08) – March 9, 1862 (1862-03-09)","Off Sewell's Point (modern-day Norfolk), near the mouth of Hampton Roads, Virginia
36°59′0″N 76°19′11″W﻿ / ﻿36.98333°N 76.31972°W﻿ / 36.98333; -76.31972Coordinates: 36°59′0″N 76°19′11″W﻿ / ﻿36.98333°N 76.31972°W﻿ / 36.98333; -76.31972","Strategic Union Victory
Tactical Confederate Victory*
Union blockade maintained*
Confederate James River squadron remains a fleet in being",John Marston (sailor),"78 killed
17 wounded
1 ironclad damaged","1 ironclad
2 wooden warships
1 gunboat
2 tenders","1 ironclad
5 wooden frigates",L,"261 killed
108 wounded
2 frigates sunk
*USS Cumberland
*USS Congress
1 frigate damaged
*USS Minnesota",
2964,Battle_of_Ft._Pulaski,"April 10–11, 1862","Chatham County, Georgia",Union victory,Samuel Francis Du Pont,"several mortally wounded
363 captured",unknown,unknown,L,"1 killed
several wounded",
2970,Battle_of_Peralta,"April 14, 1862","Peralta, New Mexico Territory;
now in Valencia County, New Mexico",Union victory,Edward Canby,"4-6 killed
3 wounded/captured
22 captured[2]",unknown,unknown,L,"1 killed
3 wounded[1]",
2977,Battle_of_New_Orleans_(Civil_War),"April 25, 1862 (1862-04-25) – May 1, 1862 (1862-05-01)","New Orleans and St. Bernard Parish, Louisiana",Union victory,David Farragut,none,unknown,unknown,L,none,
3018,Battle_of_Seven_Pines,"May 31 – June 1, 1862","Henrico County, Virginia",Inconclusive[1],George B. McClellan,"6,134 total
(980 killed,
4,749 wounded,
405 captured/missing)[3]","39,000 [2]","34,000 [2]",L,"5,031 total
(790 killed,
3,594 wounded,
647 captured/missing)[3]",
3051,Battle_of_White_Oak_Swamp,"June 30, 1862 (1862-06-30)","Henrico County, Virginia
37°28′15″N 77°12′37″W﻿ / ﻿37.4708°N 77.21025°W﻿ / 37.4708; -77.21025Coordinates: 37°28′15″N 77°12′37″W﻿ / ﻿37.4708°N 77.21025°W﻿ / 37.4708; -77.21025",Inconclusive,William B. Franklin,"15 total
3 killed
12 wounded[2]",unknown,unknown,L,~100[1],
3079,Battle_of_Manassas_Station_Ops.,"August 25, 1862 (1862-08-25) – August 27, 1862 (1862-08-27)","Prince William County, Virginia",Confederate victory,George W. Taylor (general),173[2],unknown,unknown,L,400-450[1],
3104,Battle_of_Antietam,"September 17, 1862 (1862-09-17)","Washington County,
near Sharpsburg, Maryland
39°28′24″N 77°44′41″W﻿ / ﻿39.47333°N 77.74472°W﻿ / 39.47333; -77.74472Coordinates: 39°28′24″N 77°44′41″W﻿ / ﻿39.47333°N 77.74472°W﻿ / 39.47333; -77.74472","Tactically inconclusive; Union strategic victory[1]
Emancipation Proclamation issued five days later",George B. McClellan,"10,316
1,567 killed;
7,752 wounded;
1,018 captured/missing[6][7]","38,000 ""engaged""[5]","87,164[4][5]",L,"12,410
2,108 killed;
9,549 wounded;
753 captured/missing[6][7]",
3106,Battle_of_Munfordville,"September 14, 1862 (1862-09-14) – September 17, 1862 (1862-09-17)","Hart County, Kentucky",Confederate victory,John T. Wilder,714,unknown,unknown,L,"4,148",
3119,Battle_of_Hatchie's_Bridge,"October 5, 1862 (1862-10-05)","Hardeman County and McNairy County, Tennessee",Union victory,Edward Ord,400,unknown,unknown,L,500,
3140,Battle_of_Goldsboro_Bridge,"December 17, 1862 (1862-12-17)","Wayne County, North Carolina",Union victory,John G. Foster,220,unknown,unknown,L,220,
3198,Battle_of_Chalk_Bluff,"May 1 – 2, 1863","Near Chalk Bluff, northwest of St. Francis
(present-day Clay County, Arkansas)
36°28′38.14″N 90°9′31.79″W﻿ / ﻿36.4772611°N 90.1588306°W﻿ / 36.4772611; -90.1588306Coordinates: 36°28′38.14″N 90°9′31.79″W﻿ / ﻿36.4772611°N 90.1588306°W﻿ / 36.4772611; -90.1588306",Confederate pyrrhic victory[1],Brigadier general,"23 killed
44 wounded
53 captured
total of 120 men","10,000","2,000",L,"30 killed
60 wounded
120 missing
total of 210 men",
3211,Battle_of_Jackson_(MS),"May 14, 1863 (1863-05-14)","Hinds County and Jackson, Mississippi",Union victory,Ulysses S. Grant,850,unknown,unknown,L,286,
3221,Battle_of_Milliken's_Bend,"June 7, 1863 (1863-06-07)","Madison Parish, Louisiana",Union victory,Hermann Lieb,185,unknown,unknown,L,652,
3235,Battle_of_Hoover's_Gap,"June 24, 1863 (1863-06-24) – June 26, 1863 (1863-06-26)","Bedford County, Tennessee and Rutherford County, Tennessee",Union victory,William Rosecrans,unknown.[2],unknown,unknown,L,583[1],
3237,Battle_of_Goodrich's_Landing,"June 29, 1863 (1863-06-29) – June 30, 1863 (1863-06-30)","East Carroll Parish, Louisiana",Inconclusive[1],Alfred W. Ellet,unknown,unknown,unknown,L,120,
3243,Battle_of_Vicksburg,"May 18 – July 4, 1863[1]","Warren County, Mississippi
32°20′36.96″N 90°51′3.96″W﻿ / ﻿32.3436000°N 90.8511000°W﻿ / 32.3436000; -90.8511000Coordinates: 32°20′36.96″N 90°51′3.96″W﻿ / ﻿32.3436000°N 90.8511000°W﻿ / 32.3436000; -90.8511000",Union victory[2],Ulysses S. Grant,"32,697 total
(3,202 killed/wounded/missing
 29,495 surrendered)[4]","∼ 33,000","∼ 77,000[3]",L,"4,835 total
(766 killed
 3,793 wounded
 276 captured/missing)[4]",
3264,"Battle_of_Fort_Wagner,_Morris_Island","July 18, 1863","Morris Island, South Carolina
32°43′48″N 79°52′16″W﻿ / ﻿32.73000°N 79.87111°W﻿ / 32.73000; -79.87111Coordinates: 32°43′48″N 79°52′16″W﻿ / ﻿32.73000°N 79.87111°W﻿ / 32.73000; -79.87111",Confederate victory[1],George Crockett Strong,"174 total
(36 killed;
133 wounded;
5 missing/captured)[3]","1,800 troops","5,000 troops
6 Ironclads",L,"1,515 total
(246 killed;
880 wounded;
389 missing/captured)[3]",
3282,Second_Battle_of_Chattanooga,"August 21, 1863 (1863-08-21)","Chattanooga, Tennessee",Union victory,John T. Wilder,?,unknown,unknown,L,?,
3284,Battle_of_Lawrence,"August 21, 1863","Douglas County, Kansas","Confederate victory

Most of Lawrence destroyed",William Quantrill,164 civilians,0,300–400,R,40,
3290,Second_Battle_of_Sabine_Pass,"September 8, 1863 (1863-09-08)","Jefferson County, Texas",Confederate victory,William B. Franklin,none,"49 infantry + 4 reinforcements[1]
6 artillery pieces
1 fort","5,000 infantry
4 gunboats
18 transports",L,"~200 killed wounded or captured
2 gunboats sunk",
3294,Battle_of_Bayou_Fourche,"September 10, 1863","Near the Bayou Fourche, Arkansas
(present-day Little Rock, Arkansas)
34°43′19.1″N 92°12′05.4″W﻿ / ﻿34.721972°N 92.201500°W﻿ / 34.721972; -92.201500Coordinates: 34°43′19.1″N 92°12′05.4″W﻿ / ﻿34.721972°N 92.201500°W﻿ / 34.721972; -92.201500",Union victory,John Davidson (general),Probably about the same as Union casualties,"2,500 cavalry,
8 guns","6,000 cavalry,
18 guns",L,"7 dead,
65 wounded or missing",
3302,Battle_of_Blountville,"September 22, 1863","Blountville, Sullivan County, Tennessee
Coordinates: 36°32′00″N 82°19′35″W﻿ / ﻿36.533333°N 82.326389°W﻿ / 36.533333; -82.326389",Union victory,John W. Foster,165 [1],unknown,unknown,L,27 [1],
